"date","site","sif","doy","year"
"2015-06-15","US-Kon",0.450052618980408,166,2015
"2015-07-15","US-Kon",0.556438088417053,196,2015
"2015-08-15","US-Kon",0.506489217281342,227,2015
"2015-09-15","US-Kon",0.425461322069168,258,2015
"2015-10-15","US-Kon",0.154677167534828,288,2015
"2015-11-15","US-Kon",0.115984603762627,319,2015
"2015-12-15","US-Kon",0.0465176291763783,349,2015
"2016-01-15","US-Kon",0.010813788510859,15,2016
"2016-02-15","US-Kon",0.0680792704224586,46,2016
"2016-03-15","US-Kon",0.126904785633087,75,2016
"2016-04-15","US-Kon",0.20843043923378,106,2016
"2016-05-15","US-Kon",0.40044566988945,136,2016
"2016-06-15","US-Kon",0.553420603275299,167,2016
"2016-07-15","US-Kon",0.569351315498352,197,2016
"2016-08-15","US-Kon",0.554574847221375,228,2016
"2016-09-15","US-Kon",0.424860596656799,259,2016
"2016-10-15","US-Kon",0.14633797109127,289,2016
"2016-11-15","US-Kon",0.0714445188641548,320,2016
"2016-12-15","US-Kon",0.0233909375965595,350,2016
"2017-01-15","US-Kon",0.00679147243499756,15,2017
"2017-02-15","US-Kon",-0.0375057458877563,46,2017
"2017-03-15","US-Kon",0.00413968553766608,74,2017
"2017-04-15","US-Kon",0.196099981665611,105,2017
"2017-05-15","US-Kon",0.559172868728638,135,2017
"2017-06-15","US-Kon",0.51714551448822,166,2017
"2017-07-15","US-Kon",0.501433134078979,196,2017
"2017-08-15","US-Kon",0.571432054042816,227,2017
"2017-09-15","US-Kon",0.213388279080391,258,2017
"2017-10-15","US-Kon",0.214352175593376,288,2017
"2017-11-15","US-Kon",-0.00193684396799654,319,2017
"2017-12-15","US-Kon",0.0230022426694632,349,2017
